"","pop","abs","tempo","conc","experiment"
"1","REF",0.143,"0","0","EXP1"
"2","C76",0.139,"0","0","EXP1"
"3","C67",0.137,"0","0","EXP1"
"4","C68",0.204,"0","0","EXP1"
"5","REF",0.177,"0","10","EXP1"
"6","C76",0.279,"0","10","EXP1"
"7","C67",0.269,"0","10","EXP1"
"8","C68",0.261,"0","10","EXP1"
"9","REF",0.228,"0","50","EXP1"
"10","C76",0.284,"0","50","EXP1"
"11","C67",0.283,"0","50","EXP1"
"12","C68",0.266,"0","50","EXP1"
"13","REF",0.176,"0","75","EXP1"
"14","C76",0.284,"0","75","EXP1"
"15","C67",0.28,"0","75","EXP1"
"16","C68",0.253,"0","75","EXP1"
"17","REF",0.208,"0","100","EXP1"
"18","C76",0.153,"0","100","EXP1"
"19","C67",0.267,"0","100","EXP1"
"20","C68",0.263,"0","100","EXP1"
"21","REF",0.138,"0","150","EXP1"
"22","C76",0.142,"0","150","EXP1"
"23","C67",0.14,"0","150","EXP1"
"24","C68",0.15,"0","150","EXP1"
"25","REF",0.198,"0","0","EXP2"
"26","C76",0.2,"0","0","EXP2"
"27","C67",0.205,"0","0","EXP2"
"28","C68",0.205,"0","0","EXP2"
"29","REF",0.225,"0","10","EXP2"
"30","C76",0.206,"0","10","EXP2"
"31","C67",0.202,"0","10","EXP2"
"32","C68",0.212,"0","10","EXP2"
"33","REF",0.228,"0","50","EXP2"
"34","C76",0.209,"0","50","EXP2"
"35","C67",0.212,"0","50","EXP2"
"36","C68",0.21,"0","50","EXP2"
"37","REF",0.223,"0","75","EXP2"
"38","C76",0.217,"0","75","EXP2"
"39","C67",0.21,"0","75","EXP2"
"40","C68",0.217,"0","75","EXP2"
"41","REF",0.217,"0","100","EXP2"
"42","C76",0.21,"0","100","EXP2"
"43","C67",0.214,"0","100","EXP2"
"44","C68",0.226,"0","100","EXP2"
"45","REF",0.203,"0","150","EXP2"
"46","C76",0.207,"0","150","EXP2"
"47","C67",0.204,"0","150","EXP2"
"48","C68",0.209,"0","150","EXP2"
"49","REF",0.191,"0","0","EXP3"
"50","C76",0.192,"0","0","EXP3"
"51","C67",0.199,"0","0","EXP3"
"52","C68",0.193,"0","0","EXP3"
"53","REF",0.202,"0","10","EXP3"
"54","C76",0.22,"0","10","EXP3"
"55","C67",0.208,"0","10","EXP3"
"56","C68",0.208,"0","10","EXP3"
"57","REF",0.207,"0","50","EXP3"
"58","C76",0.226,"0","50","EXP3"
"59","C67",0.215,"0","50","EXP3"
"60","C68",0.203,"0","50","EXP3"
"61","REF",0.209,"0","75","EXP3"
"62","C76",0.235,"0","75","EXP3"
"63","C67",0.222,"0","75","EXP3"
"64","C68",0.203,"0","75","EXP3"
"65","REF",0.202,"0","100","EXP3"
"66","C76",0.226,"0","100","EXP3"
"67","C67",0.225,"0","100","EXP3"
"68","C68",0.208,"0","100","EXP3"
"69","REF",0.197,"0","150","EXP3"
"70","C76",0.214,"0","150","EXP3"
"71","C67",0.208,"0","150","EXP3"
"72","C68",0.194,"0","150","EXP3"
"73","REF",0.146,"24","0","EXP1"
"74","C76",0.148,"24","0","EXP1"
"75","C67",0.147,"24","0","EXP1"
"76","C68",0.144,"24","0","EXP1"
"77","REF",0.173,"24","10","EXP1"
"78","C76",0.178,"24","10","EXP1"
"79","C67",0.173,"24","10","EXP1"
"80","C68",0.173,"24","10","EXP1"
"81","REF",0.177,"24","50","EXP1"
"82","C76",0.18,"24","50","EXP1"
"83","C67",0.177,"24","50","EXP1"
"84","C68",0.174,"24","50","EXP1"
"85","REF",0.146,"24","75","EXP1"
"86","C76",0.182,"24","75","EXP1"
"87","C67",0.164,"24","75","EXP1"
"88","C68",0.148,"24","75","EXP1"
"89","REF",0.155,"24","100","EXP1"
"90","C76",0.141,"24","100","EXP1"
"91","C67",0.151,"24","100","EXP1"
"92","C68",0.162,"24","100","EXP1"
"93","REF",0.14,"24","150","EXP1"
"94","C76",0.144,"24","150","EXP1"
"95","C67",0.141,"24","150","EXP1"
"96","C68",0.15,"24","150","EXP1"
"97","REF",0.291,"24","0","EXP2"
"98","C76",0.217,"24","0","EXP2"
"99","C67",0.236,"24","0","EXP2"
"100","C68",0.253,"24","0","EXP2"
"101","REF",0.291,"24","10","EXP2"
"102","C76",0.213,"24","10","EXP2"
"103","C67",0.214,"24","10","EXP2"
"104","C68",0.238,"24","10","EXP2"
"105","REF",0.278,"24","50","EXP2"
"106","C76",0.22,"24","50","EXP2"
"107","C67",0.224,"24","50","EXP2"
"108","C68",0.239,"24","50","EXP2"
"109","REF",0.261,"24","75","EXP2"
"110","C76",0.228,"24","75","EXP2"
"111","C67",0.222,"24","75","EXP2"
"112","C68",0.246,"24","75","EXP2"
"113","REF",0.229,"24","100","EXP2"
"114","C76",0.22,"24","100","EXP2"
"115","C67",0.225,"24","100","EXP2"
"116","C68",0.239,"24","100","EXP2"
"117","REF",0.193,"24","150","EXP2"
"118","C76",0.169,"24","150","EXP2"
"119","C67",0.198,"24","150","EXP2"
"120","C68",0.211,"24","150","EXP2"
"121","REF",0.188,"24","0","EXP3"
"122","C76",0.169,"24","0","EXP3"
"123","C67",0.167,"24","0","EXP3"
"124","C68",0.167,"24","0","EXP3"
"125","REF",0.185,"24","10","EXP3"
"126","C76",0.185,"24","10","EXP3"
"127","C67",0.184,"24","10","EXP3"
"128","C68",0.193,"24","10","EXP3"
"129","REF",0.186,"24","50","EXP3"
"130","C76",0.194,"24","50","EXP3"
"131","C67",0.186,"24","50","EXP3"
"132","C68",0.191,"24","50","EXP3"
"133","REF",0.185,"24","75","EXP3"
"134","C76",0.195,"24","75","EXP3"
"135","C67",0.194,"24","75","EXP3"
"136","C68",0.191,"24","75","EXP3"
"137","REF",0.179,"24","100","EXP3"
"138","C76",0.194,"24","100","EXP3"
"139","C67",0.195,"24","100","EXP3"
"140","C68",0.19,"24","100","EXP3"
"141","REF",0.174,"24","150","EXP3"
"142","C76",0.188,"24","150","EXP3"
"143","C67",0.178,"24","150","EXP3"
"144","C68",0.177,"24","150","EXP3"
"145","REF",0.16,"48","0","EXP1"
"146","C76",0.148,"48","0","EXP1"
"147","C67",0.143,"48","0","EXP1"
"148","C68",0.141,"48","0","EXP1"
"149","REF",0.16,"48","10","EXP1"
"150","C76",0.154,"48","10","EXP1"
"151","C67",0.146,"48","10","EXP1"
"152","C68",0.149,"48","10","EXP1"
"153","REF",0.153,"48","50","EXP1"
"154","C76",0.151,"48","50","EXP1"
"155","C67",0.151,"48","50","EXP1"
"156","C68",0.146,"48","50","EXP1"
"157","REF",0.15,"48","75","EXP1"
"158","C76",0.148,"48","75","EXP1"
"159","C67",0.146,"48","75","EXP1"
"160","C68",0.15,"48","75","EXP1"
"161","REF",0.151,"48","100","EXP1"
"162","C76",0.145,"48","100","EXP1"
"163","C67",0.146,"48","100","EXP1"
"164","C68",0.149,"48","100","EXP1"
"165","REF",0.141,"48","150","EXP1"
"166","C76",0.146,"48","150","EXP1"
"167","C67",0.143,"48","150","EXP1"
"168","C68",0.143,"48","150","EXP1"
"169","REF",0.373,"48","0","EXP2"
"170","C76",0.308,"48","0","EXP2"
"171","C67",0.324,"48","0","EXP2"
"172","C68",0.382,"48","0","EXP2"
"173","REF",0.392,"48","10","EXP2"
"174","C76",0.215,"48","10","EXP2"
"175","C67",0.217,"48","10","EXP2"
"176","C68",0.3,"48","10","EXP2"
"177","REF",0.315,"48","50","EXP2"
"178","C76",0.208,"48","50","EXP2"
"179","C67",0.213,"48","50","EXP2"
"180","C68",0.226,"48","50","EXP2"
"181","REF",0.269,"48","75","EXP2"
"182","C76",0.196,"48","75","EXP2"
"183","C67",0.18,"48","75","EXP2"
"184","C68",0.221,"48","75","EXP2"
"185","REF",0.222,"48","100","EXP2"
"186","C76",0.165,"48","100","EXP2"
"187","C67",0.168,"48","100","EXP2"
"188","C68",0.216,"48","100","EXP2"
"189","REF",0.205,"48","150","EXP2"
"190","C76",0.164,"48","150","EXP2"
"191","C67",0.165,"48","150","EXP2"
"192","C68",0.2,"48","150","EXP2"
"193","REF",0.233,"48","0","EXP3"
"194","C76",0.184,"48","0","EXP3"
"195","C67",0.162,"48","0","EXP3"
"196","C68",0.159,"48","0","EXP3"
"197","REF",0.192,"48","10","EXP3"
"198","C76",0.169,"48","10","EXP3"
"199","C67",0.165,"48","10","EXP3"
"200","C68",0.163,"48","10","EXP3"
"201","REF",0.168,"48","50","EXP3"
"202","C76",0.174,"48","50","EXP3"
"203","C67",0.167,"48","50","EXP3"
"204","C68",0.161,"48","50","EXP3"
"205","REF",0.149,"48","75","EXP3"
"206","C76",0.171,"48","75","EXP3"
"207","C67",0.171,"48","75","EXP3"
"208","C68",0.165,"48","75","EXP3"
"209","REF",0.153,"48","100","EXP3"
"210","C76",0.173,"48","100","EXP3"
"211","C67",0.174,"48","100","EXP3"
"212","C68",0.163,"48","100","EXP3"
"213","REF",0.172,"48","150","EXP3"
"214","C76",0.172,"48","150","EXP3"
"215","C67",0.171,"48","150","EXP3"
"216","C68",0.156,"48","150","EXP3"
"217","REF",0.188,"0","0","EXP1"
"218","C76",0.168,"0","0","EXP1"
"219","C67",0.162,"0","0","EXP1"
"220","C68",0.157,"0","0","EXP1"
"221","REF",0.183,"0","10","EXP1"
"222","C76",0.194,"0","10","EXP1"
"223","C67",0.181,"0","10","EXP1"
"224","C68",0.173,"0","10","EXP1"
"225","REF",0.178,"0","50","EXP1"
"226","C76",0.188,"0","50","EXP1"
"227","C67",0.181,"0","50","EXP1"
"228","C68",0.168,"0","50","EXP1"
"229","REF",0.151,"0","75","EXP1"
"230","C76",0.186,"0","75","EXP1"
"231","C67",0.164,"0","75","EXP1"
"232","C68",0.153,"0","75","EXP1"
"233","REF",0.159,"0","100","EXP1"
"234","C76",0.146,"0","100","EXP1"
"235","C67",0.153,"0","100","EXP1"
"236","C68",0.157,"0","100","EXP1"
"237","REF",0.139,"0","150","EXP1"
"238","C76",0.164,"0","150","EXP1"
"239","C67",0.141,"0","150","EXP1"
"240","C68",0.142,"0","150","EXP1"
"241","REF",0.492,"0","0","EXP2"
"242","C76",0.457,"0","0","EXP2"
"243","C67",0.465,"0","0","EXP2"
"244","C68",0.431,"0","0","EXP2"
"245","REF",0.555,"0","10","EXP2"
"246","C76",0.399,"0","10","EXP2"
"247","C67",0.416,"0","10","EXP2"
"248","C68",0.423,"0","10","EXP2"
"249","REF",0.487,"0","50","EXP2"
"250","C76",0.382,"0","50","EXP2"
